sku,name,description,category_name,cost_price,sell_price,currency,status,image_path,meta
SCV001,Suero Ultra Concentrado,,Cuidado de la Piel,850,1445,NIO,active,Suero Ultra Concentrado.jpeg,"{""brand"":""CeraVe"",""legacy_code"":""SCV001"",""subcategory"":""N/A"",""initial_quantity"":1,""condition"":""Caja manchada con suciedas, aboyaduras, manchas amarillas"",""source_photo"":""Suero Ultra Concentrado.jpeg"",""legacy_store_price"":1073,""legacy_total"":850}"
SCR002,Bloqueador solar invisible â Ultra protecciÃ³n,,Cuidado de la Piel,910.2,1547.34,NIO,active,Bloqueador solar invisible â Ultra protecciÃ³n.jpeg,"{""brand"":""La Roche-Posey"",""legacy_code"":""SCR002"",""subcategory"":""N/A"",""initial_quantity"":1,""condition"":""Envoltura de plastico rota"",""source_photo"":""Bloqueador solar invisible â Ultra protecciÃ³n.jpeg"",""legacy_store_price"":1110,""legacy_total"":910.2}"
CEL001,Bloqueador SPF 35,,Cuidado de la Piel,667.48,1134.72,NIO,active,Bloqueador SPF 35.jpeg,"{""brand"":""e.l.f."",""legacy_code"":""CEL001"",""subcategory"":""N/A"",""initial_quantity"":1,""condition"":""Manchas pequenas y aboyaduras"",""source_photo"":""Bloqueador SPF 35.jpeg"",""legacy_store_price"":814,""legacy_total"":667.48}"
STO02,Set para Renovar e Hidratar para exfoliacion avanzada,,Cuidado de la Piel,910.2,1547.34,NIO,active,Set para Renovar e Hidratar.HEIC,"{""brand"":""The Ordinary"",""legacy_code"":""STO02"",""subcategory"":""Set"",""initial_quantity"":1,""condition"":""Aboyaduras marcas"",""source_photo"":""Set para Renovar e Hidratar.HEIC"",""legacy_store_price"":1110,""legacy_total"":910.2}"
SGR001,Set de cuidado facial Fruit Babies,,Cuidado de la Piel,1887,3207.9,NIO,active,Set de cuidado facial Fruit Babies.jpeg,"{""brand"":""Glow Recipe"",""legacy_code"":""SGR001"",""subcategory"":""Set"",""initial_quantity"":1,""source_photo"":""Set de cuidado facial Fruit Babies.jpeg"",""legacy_store_price"":2183,""legacy_total"":1887}"
SXI001,Crema de Acido Hialuronico,,Cuidado de la Piel,250,425,NIO,active,Crema de acido hialuronico.jpeg,"{""brand"":""Yimeixi"",""legacy_code"":""SXI001"",""subcategory"":""N/A"",""initial_quantity"":1,""source_photo"":""Crema de acido hialuronico.jpeg"",""legacy_store_price"":481,""legacy_total"":250}"
SCE001,Bloqueador Solar,,Cuidado de la Piel,455.1,773.67,NIO,active,1 Bloqueador Solar.jpeg,"{""brand"":""Centella"",""legacy_code"":""SCE001"",""subcategory"":""N/A"",""initial_quantity"":1,""source_photo"":""1 Bloqueador Solar.jpeg"",""legacy_store_price"":555,""legacy_total"":455.1}"
SCE001-1,Bloqueador Solar,,Cuidado de la Piel,395,671.5,NIO,active,2 Bloqueador Solar.jpeg,"{""brand"":""Centella"",""legacy_code"":""SCE001"",""subcategory"":""N/A"",""initial_quantity"":1,""condition"":""Caja manchada con suciedas, aboyaduras, manchas amarillas"",""source_photo"":""2 Bloqueador Solar.jpeg"",""legacy_store_price"":500,""legacy_total"":395}"
SCE000,Bloqueador Solar,,Cuidado de la Piel,395,671.5,NIO,active,3Bloqueador Solar.HEIC,"{""brand"":""Centella"",""legacy_code"":""SCE000"",""subcategory"":""N/A"",""initial_quantity"":1,""condition"":""Caja con aboyaduras."",""source_photo"":""3Bloqueador Solar.HEIC"",""legacy_store_price"":500,""legacy_total"":395}"
SCE001-2,Bloqueador Solar,,Cuidado de la Piel,455.1,773.67,NIO,active,4Bloqueador Solar.HEIC,"{""brand"":""Centella"",""legacy_code"":""SCE001"",""subcategory"":""N/A"",""initial_quantity"":1,""condition"":""Caja con aboyaduras."",""source_photo"":""4Bloqueador Solar.HEIC"",""legacy_store_price"":500,""legacy_total"":455.1}"
SCE001-3,Bloqueador Solar,,Cuidado de la Piel,455.1,773.67,NIO,active,5 Bloqueador Solar.HEIC,"{""brand"":""Centella"",""legacy_code"":""SCE001"",""subcategory"":""Perfume"",""initial_quantity"":1,""source_photo"":""5 Bloqueador Solar.HEIC"",""legacy_store_price"":500,""legacy_total"":455.1}"
PVS001,Perfume Very Sexy Oasis,,Perfumería,1295,2201.5,NIO,active,Perfume Victoria Secret.HEIC,"{""brand"":""Victoria Secret"",""legacy_code"":""PVS001"",""subcategory"":""Perfume"",""initial_quantity"":2,""source_photo"":""Perfume Victoria Secret.HEIC"",""legacy_store_price"":1665,""legacy_total"":2590}"
FVS001,Body fragancia Fabulous,,Perfumería,500,850,NIO,active,Body Fragancia Fabolous.jpeg,"{""brand"":""Victoria Secret"",""legacy_code"":""FVS001"",""subcategory"":""Body"",""initial_quantity"":1,""condition"":""Aboyadura en la esquina izquierda superior"",""source_photo"":""Body Fragancia Fabolous.jpeg"",""legacy_store_price"":703,""legacy_total"":500}"
FVS006,Body fragancia Love Spell,,Perfumería,500,850,NIO,active,Body fragancia Love Spell.jpeg,"{""brand"":""Victoria Secret"",""legacy_code"":""FVS006"",""subcategory"":""Body"",""initial_quantity"":1,""source_photo"":""Body fragancia Love Spell.jpeg"",""legacy_store_price"":629,""legacy_total"":500}"
FVS001-1,Body fragancia So in Love,,Perfumería,500,850,NIO,active,Body Fragancia So in love.jpeg,"{""brand"":""Victoria Secret"",""legacy_code"":""FVS001"",""subcategory"":""Body"",""initial_quantity"":1,""source_photo"":""Body Fragancia So in love.jpeg"",""legacy_store_price"":703,""legacy_total"":500}"
SVS004,Body fragancia Sugar Sky,,Perfumería,500,850,NIO,active,Fragancia Body Sugar Sky Pink.jpeg,"{""brand"":""Pink"",""legacy_code"":""SVS004"",""subcategory"":""Body"",""initial_quantity"":1,""source_photo"":""Fragancia Body Sugar Sky Pink.jpeg"",""legacy_store_price"":629,""legacy_total"":500}"
BPV001,Set Body y Locion,,Perfumería,1000,1700,NIO,active,Set Body y Locion .jpeg,"{""brand"":""Pink"",""legacy_code"":""BPV001"",""subcategory"":""Set locion y body"",""initial_quantity"":1,""source_photo"":""Set Body y Locion .jpeg"",""legacy_store_price"":1295,""legacy_total"":1000}"
28,Mini crema de manos diferentes olores,,Cuidado de la Piel,30,51,NIO,active,Mini Crema de Manos.jpeg,"{""brand"":""Shein"",""legacy_code"":""N/A"",""subcategory"":""Crema de manos"",""initial_quantity"":9,""source_photo"":""Mini Crema de Manos.jpeg"",""legacy_total"":270}"
HGA001,Protector Termico Garnier,,Cuidado del Cabello,500,850,NIO,active,ProtectorTermicoGarnier.jpeg,"{""brand"":""Garnier"",""legacy_code"":""HGA001"",""subcategory"":""Protector Termico"",""initial_quantity"":2,""source_photo"":""ProtectorTermicoGarnier.jpeg"",""legacy_store_price"":888,""legacy_total"":1000}"
HPR001,Paleta De Sombra Short But Sweet,,Maquillaje,561.7,954.89,NIO,active,1Paleta De Sombra ShortButSweet.jpeg,"{""brand"":""Prolux"",""legacy_code"":""HPR001"",""subcategory"":""N/A"",""initial_quantity"":1,""source_photo"":""1Paleta De Sombra ShortButSweet.jpeg"",""legacy_store_price"":685,""legacy_total"":561.7}"
MPR002,Paleta De Sombra Prismatic,,Maquillaje,500,850,NIO,active,2Paleta De Sombra Prismatic.jpeg,"{""brand"":""Prolux"",""legacy_code"":""MPR002"",""subcategory"":""Sombra"",""initial_quantity"":1,""source_photo"":""2Paleta De Sombra Prismatic.jpeg"",""legacy_store_price"":685,""legacy_total"":500}"
MPX001,Paleta De Sombra Px Look,,Maquillaje,400,680,NIO,active,EyeShadow.jpeg,"{""brand"":""Px Look"",""legacy_code"":""MPX001"",""subcategory"":""Sombra"",""initial_quantity"":1,""source_photo"":""EyeShadow.jpeg"",""legacy_store_price"":555,""legacy_total"":400}"
MBI001,Paleta De Sombra Pretty Pink,,Maquillaje,270,459,NIO,active,SombraDeColoresPrettyPink.jpeg,"{""brand"":""Beauty Intuition"",""legacy_code"":""MBI001"",""subcategory"":""Sombra"",""initial_quantity"":1,""source_photo"":""SombraDeColoresPrettyPink.jpeg"",""legacy_store_price"":333,""legacy_total"":270}"
MBI002,Paleta De Sombra Pretty Pink,,Maquillaje,270,459,NIO,active,SombraDeColoresPrettyPink.jpeg,"{""brand"":""Beauty Intuition"",""legacy_code"":""MBI002"",""subcategory"":""Sombra"",""initial_quantity"":1,""source_photo"":""SombraDeColoresPrettyPink.jpeg"",""legacy_store_price"":333,""legacy_total"":270}"
MPX002,Paleta De Sombra Px Look,,Maquillaje,545,926.5,NIO,active,SombraPxLook28.jpeg,"{""brand"":""Px Look"",""legacy_code"":""MPX002"",""subcategory"":""Sombra"",""initial_quantity"":1,""condition"":""Caja Abierta"",""source_photo"":""SombraPxLook28.jpeg"",""legacy_store_price"":667,""legacy_total"":545}"
MRB001,"Set De Labios, Iluminador y Contrno",,Maquillaje,1665,2830.5,NIO,active,SetDeIluminador.jpeg,"{""brand"":""Rare Beauty"",""legacy_code"":""MRB001"",""subcategory"":""Iluminador"",""initial_quantity"":1,""source_photo"":""SetDeIluminador.jpeg"",""legacy_store_price"":1813,""legacy_total"":1665}"
MVS001,Brillo Labial Victoria Secret,,Maquillaje,410,697,NIO,active,BrilloLabialVictoriaSecret.jpeg,"{""brand"":""Victoria Secret"",""legacy_code"":""MVS001"",""subcategory"":""Brillo"",""initial_quantity"":2,""source_photo"":""BrilloLabialVictoriaSecret.jpeg"",""legacy_store_price"":500,""legacy_total"":820}"
MLA002,Labial Hidratante,,Maquillaje,175,297.5,NIO,active,LabialHidratanteLACOLORS.jpeg,"{""brand"":""L.A.Colors"",""legacy_code"":""MLA002"",""subcategory"":""Labial"",""initial_quantity"":2,""source_photo"":""LabialHidratanteLACOLORS.jpeg"",""legacy_store_price"":205,""legacy_total"":350}"
MLA004,Voluminizador de labios,,Maquillaje,175,297.5,NIO,active,VolumizadorLabial.jpeg,"{""brand"":""L.A.Colors"",""legacy_code"":""MLA004"",""subcategory"":""Labial"",""initial_quantity"":1,""source_photo"":""VolumizadorLabial.jpeg"",""legacy_store_price"":205,""legacy_total"":175}"
MIO003,Tinte Labial,,Maquillaje,195,331.5,NIO,active,TinteLabial.jpeg,"{""brand"":""IONI"",""legacy_code"":""MIO003"",""subcategory"":""Tinte"",""initial_quantity"":1,""source_photo"":""TinteLabial.jpeg"",""legacy_store_price"":240,""legacy_total"":195}"
MIO002,Rubor Liquido,,Maquillaje,280,476,NIO,active,RuborLiquido.jpeg,"{""brand"":""IONI"",""legacy_code"":""MIO002"",""subcategory"":""Rubor"",""initial_quantity"":1,""source_photo"":""RuborLiquido.jpeg"",""legacy_store_price"":333,""legacy_total"":280}"
MIO001,Rubor voluminizador,,Maquillaje,220,374,NIO,active,RuborVolumizador.jpeg,"{""brand"":""IONI"",""legacy_code"":""MIO001"",""subcategory"":""Rubor"",""initial_quantity"":1,""source_photo"":""RuborVolumizador.jpeg"",""legacy_store_price"":260,""legacy_total"":220}"
MLA003,2 en 1 Labial Y Brillo,,Maquillaje,175,297.5,NIO,active,LABIALYBRILLO.jpeg,"{""brand"":""L.A.Colors"",""legacy_code"":""MLA003"",""subcategory"":""Labial"",""initial_quantity"":1,""source_photo"":""LABIALYBRILLO.jpeg"",""legacy_store_price"":205,""legacy_total"":175}"
MLA001,3 en 1 Labial Y Brillo,,Maquillaje,175,297.5,NIO,active,LabialYBrillo1.jpeg,"{""brand"":""L.A.Colors"",""legacy_code"":""MLA001"",""subcategory"":""Labial"",""initial_quantity"":1,""source_photo"":""LabialYBrillo1.jpeg"",""legacy_store_price"":205,""legacy_total"":175}"
MRB002,DÃºo de ojos Essentials de Selena,,Maquillaje,1036,1761.2,NIO,active,esencial para ojos de Selena.jpeg,"{""brand"":""Rare Beauty"",""legacy_code"":""MRB002"",""subcategory"":""Sombra"",""initial_quantity"":2,""source_photo"":""esencial para ojos de Selena.jpeg"",""legacy_store_price"":1258,""legacy_total"":2072}"
MRB004,Contorno LÃ­quido Soft Pinch,,Maquillaje,1274.28,2166.28,NIO,active,Contorno LiÌquido Soft Pinch.jpeg,"{""brand"":""Rare Beauty"",""legacy_code"":""MRB004"",""subcategory"":""Contorno"",""initial_quantity"":3,""condition"":""Caja En Mal Estado"",""source_photo"":""Contorno LiÌquido Soft Pinch.jpeg"",""legacy_store_price"":1554,""legacy_total"":3822.84}"
MEL001,Delineador Liquido,,Maquillaje,300,510,NIO,active,DelineadorElf.jpeg,"{""brand"":""e.l.f."",""legacy_code"":""MEL001"",""subcategory"":""Delineador"",""initial_quantity"":1,""condition"":""Caja En Mal Estado"",""source_photo"":""DelineadorElf.jpeg"",""legacy_store_price"":555,""legacy_total"":300}"
MIO005,Gel fijador escultor para cejas,,Maquillaje,240,408,NIO,active,Gel fijador escultor para cejas.jpeg,"{""brand"":""IONI"",""legacy_code"":""MIO005"",""subcategory"":""Fijador"",""initial_quantity"":1,""source_photo"":""Gel fijador escultor para cejas.jpeg"",""legacy_store_price"":296,""legacy_total"":240}"
MOS001,Spray fijador mate e impermeable,,Maquillaje,820,1394,NIO,active,Spray fijador mate e impermeable.jpeg,"{""brand"":""One/Size"",""legacy_code"":""MOS001"",""subcategory"":""Fijador"",""initial_quantity"":1,""source_photo"":""Spray fijador mate e impermeable.jpeg"",""legacy_store_price"":999,""legacy_total"":820}"
MSE001,Kit de labios âPerfect Poutâ de Sephora,,Maquillaje,1980,3366,NIO,active,Kit de labios âPerfect Poutâ de Sephora.jpeg,"{""brand"":""Sephora"",""legacy_code"":""MSE001"",""subcategory"":""Labial"",""initial_quantity"":1,""condition"":""Caja En Mal Estado"",""source_photo"":""Kit de labios âPerfect Poutâ de Sephora.jpeg"",""legacy_store_price"":2479,""legacy_total"":1980}"
MVP001,Color de labios + rubor en crema,,Maquillaje,280,476,NIO,active,Color de labios + rubor en crema.jpeg,"{""brand"":""Clean Beauty"",""legacy_code"":""MVP001"",""subcategory"":""Rubor"",""initial_quantity"":1,""source_photo"":""Color de labios + rubor en crema.jpeg"",""legacy_store_price"":333,""legacy_total"":280}"
MSH001,Balsamo De Labios,,Maquillaje,37,62.9,NIO,active,Balsamo Labial.jpeg,"{""brand"":""Miss Factor X"",""legacy_code"":""MSH001"",""subcategory"":""Labial"",""initial_quantity"":35,""source_photo"":""Balsamo Labial.jpeg"",""legacy_store_price"":70,""legacy_total"":1295}"
RCK002,Calzon Ck L Blanco,,Ropa,0,0,NIO,active,CalzonCKB.jpeg,"{""brand"":""Calvin Klein"",""legacy_code"":""RCK002"",""subcategory"":""Interior"",""initial_quantity"":1,""source_photo"":""CalzonCKB.jpeg"",""legacy_store_price"":1000,""legacy_total"":0,""note_2"":""820""}"
55,Calzon Ck L Gris,,Ropa,0,0,NIO,active,CalzonCKG.jpeg,"{""brand"":""Calvin Klein"",""legacy_code"":""Sin Codigo"",""subcategory"":""Interior"",""initial_quantity"":1,""source_photo"":""CalzonCKG.jpeg"",""legacy_store_price"":0,""legacy_total"":0,""note_2"":""820""}"
RCK001,Calzon Ck M Verde,,Ropa,0,0,NIO,active,CalzonCKV.jpeg,"{""brand"":""Calvin Klein"",""legacy_code"":""RCK001"",""subcategory"":""Interior"",""initial_quantity"":1,""source_photo"":""CalzonCKV.jpeg"",""legacy_store_price"":1000,""legacy_total"":0,""note_2"":""820""}"
RCK002-1,Calzon Ck M Gris,,Ropa,0,0,NIO,active,CalzonCKG2.jpeg,"{""brand"":""Calvin Klein"",""legacy_code"":""RCK002"",""subcategory"":""Interior"",""initial_quantity"":1,""source_photo"":""CalzonCKG2.jpeg"",""legacy_store_price"":1000,""legacy_total"":0,""note_2"":""820""}"
58,Calzon Tommy Gris M,,Ropa,0,0,NIO,active,CalzonTommyHilfGM.jpeg,"{""brand"":""Tommy Hilfiger"",""legacy_code"":""Sin Codigo"",""subcategory"":""Interior"",""initial_quantity"":1,""source_photo"":""CalzonTommyHilfGM.jpeg"",""legacy_store_price"":1000,""legacy_total"":0,""note_2"":""820""}"
59,Calzon Tommy Azul M,,Ropa,0,0,NIO,active,CalzonTommyHilfAzul.jpeg,"{""brand"":""Tommy Hilfiger"",""legacy_code"":""Sin Codigo"",""subcategory"":""Interior"",""initial_quantity"":1,""source_photo"":""CalzonTommyHilfAzul.jpeg"",""legacy_store_price"":1000,""legacy_total"":0,""note_2"":""820""}"
RCK001-1,Calzon Tommy Rosa M,,Ropa,0,0,NIO,active,CalzonTommyHilfRM.jpeg,"{""brand"":""Tommy Hilfiger"",""legacy_code"":""RCK001"",""subcategory"":""Interior"",""initial_quantity"":1,""source_photo"":""CalzonTommyHilfRM.jpeg"",""legacy_store_price"":1000,""legacy_total"":0,""note_2"":""820""}"
61,Calzon Fine too Verde M,,Ropa,0,0,NIO,active,CalzonFineTooVerde.jpeg,"{""brand"":""Fine too"",""legacy_code"":""Sin Codigo"",""subcategory"":""Interior"",""initial_quantity"":1,""source_photo"":""CalzonFineTooVerde.jpeg"",""legacy_store_price"":120,""legacy_total"":0,""note_2"":""98""}"
62,Calzon Fine too Blanco M,,Ropa,0,0,NIO,active,CalzonFineTooBlanco.jpeg,"{""brand"":""Fine too"",""legacy_code"":""Sin Codigo"",""subcategory"":""Interior"",""initial_quantity"":1,""source_photo"":""CalzonFineTooBlanco.jpeg"",""legacy_store_price"":120,""legacy_total"":0,""note_2"":""98""}"
63,Calzon Fine too Negro M,,Ropa,0,0,NIO,active,CalzonFineTooNegro.jpeg,"{""brand"":""Fine too"",""legacy_code"":""Sin Codigo"",""subcategory"":""Interior"",""initial_quantity"":1,""source_photo"":""CalzonFineTooNegro.jpeg"",""legacy_store_price"":120,""legacy_total"":0,""note_2"":""98""}"
